Operating Revenue ID	Local Government Operating Revenue	State Government Operating Revenue	Federal Government Operating Revenue	Other Operating Revenue
732	1183551	6841	500	56998
733	8610	3000	0	0
734	1993606	3000	11538	44935
735	187621	3987	250	31228
736	832758	3000	250	20594
737	154000	0	0	0
738	2934993	23690	0	13374
739	1682361	5741	0	193357
740	1035957	4853	23305	30738
741	172874	3000	4461	10000
742	129397	3000	250	2470
743	590287	3000	250	160863
744	1239607	3000	250	15771
745	1012317	7351	120169	352776
746	23355372	0	0	396517
747	297270	2469	250	5000
748	19464	3000	0	0
749	11943	36337	250	3063
750	119359	9206	5150	34981
751	111298	3000	250	2826
752	284664	3000	0	59616
753	8832	3000	250	0
754	6000	0	0	4060
755	259219	3000	250	5503
756	96522	6682	0	3944
757	108094	1338	0	5308
758	491707	2003	0	34080
759	168835	1318	0	10380
760	1402013	7176	2900	79624
761	262258	1400	0	13642
762	3500	0	0	2499
763	947211	4519	6142	17200
764	3500	0	0	38681
765	172000	1277	0	42610
766	805908	3561	4466	12714
767	124396	1339	0	10116
768	1536677	15223	3000	40029
769	237060	2115	0	1244
770	1220435	6576	0	206089
771	205232	329	0	19654
772	6877801	3540	0	114557
773	81600	1373	0	42048
774	2148212	4580	0	46456
775	616602	3133	0	22194
776	118803	1230	0	5582
777	314719	2567	0	26075
778	38000	2337	0	103289
779	120135	2452	5000	7542
780	569969	12992	0	18407
781	71763	1203	0	15905
782	123360	1491	0	1556
783	740104	13594	0	131381
784	535201	5702	0	25472
785	321962	3225	0	28480
786	37300	1248	0	126446
787	536772	3199	0	12727
788	1906053	10488	0	69500
789	3021867	105461	0	126312
790	3400566	69660	0	1026080
791	217850	1639	0	10027
792	500	7822	0	541940
793	444011	4618	0	48415
794	476864	18363	0	23441
795	185000	2145	0	119534
796	247833	1372	0	68918
797	390557	3741	0	18665
798	501444	6309	0	19958
799	910417	2802	3000	100
800	744839	3182	0	72396
801	1003298	3861	0	70217
802	560893	2906	0	37439
803	440066	6267	0	19828
804	232973	1841	0	117355
805	688724	3655	5000	53335
806	1616242	9952	0	31070
807	270000	5018	0	279640
808	100583	164	0	43901
809	4220461	34791	5000	103166
810	350000	571	0	768086
811	2226664	13892	0	249202
812	7500	22	0	10593
813	1671188	15826	0	55776
814	1166492	37380	0	63810
815	139820	1388	0	9000
816	467538	3013	0	19262
817	7659230	37379	0	2892973
818	1517267	6596	0	70159
819	83000	2674	0	37869
820	20000	619	0	173047
821	1644410	29830	0	16635
822	173000	9187	0	331153
823	1036298	13704	0	286022
824	348995	2193	0	76199
825	1921442	7754	0	51453
826	8215000	233852	219443	1178634
827	164562	2274	0	21144
828	364184	2264	0	22892
829	81000	1876	0	179163
830	579652	9078	0	40967
831	227000	1984	0	92844
832	262309	2302	0	45553
833	544621	2508	0	47908
834	321158	381	0	13957
835	326000	12923	0	373722
836	142239	1527	0	56458
837	1254963	4257	0	238710
838	2818652	37594	0	98000
839	778761	14250	0	23851
840	309326	7087	0	56788
841	2066905	2688	0	72950
842	407624	2311	0	28986
843	284784	1802	0	18172
844	2779041	23554	0	186224
845	1525962	1859	0	70128
846	702564	8353	0	134533
847	40000	1322	0	40514
848	101955	1412	0	6578
849	577000	1778	0	228840
850	2950000	6727	0	79527
851	2301088	20188	0	724701
852	471439	2227	0	19296
853	52000	160	0	38806
854	223000	7485	0	116689
855	3606879	4834	65303	365756
856	2467559	28549	0	12869
857	602700	1606	0	80130
858	977100	4770	0	103653
859	1118428	3087	0	363923
860	5000	1664	0	405830
861	564263	5400	0	52000
862	73440	1439	0	50639
863	884348	9118	0	59081
864	26000	1596	0	108895
865	167000	0	0	25100
866	3405251	3706	0	0
867	181500	186	0	117150
868	1024288	3444	0	272439
869	285000	2909	0	365318
870	659421	11894	0	12168
871	614273	10715	0	10865
872	245332	1373	0	3552
873	58000	1278	0	1698
874	626803	11088	0	61683
875	466186	6286	0	19887
876	447254	1781	0	3540
877	85681	1384	0	7454
878	161979	0	0	11343
879	631037	6270	0	41564
880	136941	1771	0	3052
881	256209	2076	0	6600
882	422480	10536	0	758
883	433000	2341	0	351001
884	1716730	1704	0	479659
885	953855	11648	0	3757
886	126705	1465	0	101164
887	315585	4751	0	12389
888	168096	2771	0	258855
889	42649	2633	0	10666
890	531442	2358	0	117585
891	55000	1236	0	247862
892	919539	4628	0	139538
893	110000	0	0	97566
894	1445600	16235	0	19852
895	424434	4131	0	14713
896	613546	23767	0	15931
897	1343408	3898	0	35675
898	1563390	18980	0	16558
899	64778	1340	0	1947
900	490117	1776	0	57501
901	7140000	3175	0	1283648
902	71802	1296	0	0
903	125000	1532	0	308994
904	2824089	10630	5000	211680
905	442612	1725	0	32205
906	453347	5768	0	39481
907	368138	4800	0	1755
908	385067	2814	0	34098
909	27400	1826	0	621457
910	1513674	13276	0	228094
911	34243	1373	0	2806
912	310000	2193	5000	570271
913	66653	1470	0	1539
914	2802883	35307	0	172865
915	27000	2117	0	20630
916	146000	3444	0	340307
917	2126301	2600	0	51517
918	1250333	25376	0	90877
919	745000	1890	0	7720
920	371845	1888	0	12071
921	3183942	23099	1250	0
922	1630000	2078	0	47719
923	402173	1531	0	24588
924	4323704	69074	0	1004516
925	1802975	19558	0	47559
926	162214	2099	0	11555
927	2545201	16897	0	816767
928	176557	3955	0	157691
929	50400	60	0	17916
930	739720	1611	0	4800
931	41366	0	0	26695
932	1523562	5038	0	54216
933	431108	5502	0	34047
934	487784	2763	0	12204
935	770923	20274	0	29115
936	628113	8422	0	1973
937	15894	43	0	222
938	11449	1206	0	230
939	19205	0	0	9822
940	15665	0	0	5467
941	1578934	22236	0	103177
942	402556	1773	0	11734
943	43262	1212	0	1881
944	30680	1201	0	23597
945	6830	1202	0	0
946	51449	0	0	5095
947	1114265	19643	0	52496
948	56615	3386	0	6852
949	53095222	0	912671	180898
950	173675	32033	0	9055
951	193685	56413	0	14808
952	134461	36626	0	7286
953	181668	61105	0	156617
954	183775	79468	0	154613
955	432542	98204	0	106359
956	209460	54523	0	17190
957	359791	134051	0	297998
958	189771	105669	0	124899
959	251330	87159	0	181291
960	177337	31197	0	13925
961	301839	88070	0	22727
